Word,Valence,Arousal
MONEY,6.96,6.49
MONGOOSE,5.12,5.44
MONK,5.28,3.58
MONKEY,6.15,5.63
MONSTER,3.1,7.25
MONUMENT,5.94,4.62
MOON,6.86,3.67
MOOSE,5.67,4.99
MOP,4.51,4.6
MOSQUITO,2.4,6.48
MOSS,4.99,3.62
MOTEL,5.2,4.86
MOTH,4.12,4.94
MOTHER,7.09,4.41
MOTOR,5.33,5.41
MOTORCYCLE,5.54,6.2
MOUNTAIN,6.52,4.47
MOUSE,4.25,5.61
MOUTH,5.75,5.14
MOVIE,6.82,5.34
MOWER,4.84,5.06
MUFFIN,6.72,4.24
MUG,5.5,4.33
MULE,5.18,4.74
MUMMY,4.25,5.71
MUSEUM,6.5,4.22
MUSHROOM,5.22,4.49
MUSTARD,5.17,4.66
NAIL,4.78,5.14
NAPKIN,5.55,4.14
NAVIGATOR,5.45,5.34
NECK,5.37,4.86
NECKLACE,6.3,5.05
NEEDLE,3.83,6.05
NEPHEW,6.33,4.49
NEPTUNE,5.94,5.1
NERVE,4.53,5.93
NEST,5.63,3.58
NET,5.18,4.93
NEUTRON,5.41,5.06
NEWSPAPER,5.49,4.7
NEWSSTAND,5.33,4.74
NICKEL,5.77,4.79
NICOTINE,3.08,5.79
NIECE,6.38,4.46
NIGHTGOWN,5.81,4.31
NITROGEN,5.04,5.2
NOMAD,5.2,5.14
NOOSE,2.63,6.87
NOSE,5.35,4.65
NOTE,5.62,4.59
NOTEBOOK,5.79,4.42
NOVEL,6.45,4.39
NUCLEUS,5.47,4.88
NUN,5.18,3.68
NURSE,6.14,5.2
NURSERY,6.09,4.08
NUT,5.78,4.73
OAR,5.4,4.29
OATMEAL,5.88,3.75
OATS,5.9,3.87
OBOE,5.42,4.36
OCEAN,7.06,3.36
OCTOPUS,5.17,5.66
OFFICE,4.94,4.95
OFFICER,4.79,6.44
OINTMENT,4.68,4.77
OLIVE,5.39,4.52
OMELET,6.37,4.61
ONION,5.21,4.98
OPERA,5.58,4.58
OPERATOR,5.32,5.1
ORANGE,6.65,4.75
ORCHESTRA,6.38,4.87
ORCHID,6.88,3.58
OREGANO,6.07,4.29
ORGAN,5.24,5.06
ORNAMENT,6.02,4.7
OTTER,6.33,4.65
OUTDOORS,6.84,4.12
OUTFIT,5.59,4.8
OUTLAW,3.49,6.91
OVAL,5.39,4.24
OVEN,5.75,4.88
OWL,6.22,4.23
OWNER,5.41,5.03
OX,5.15,4.81
OYSTER,4.7,4.46
OZONE,4.89,5.25
PACKAGE,5.97,5.32
PAD,5.2,4.15
PADDING,5.33,4.08
